pl_orbper,pl_rade,disposition,target_encoded
-0.872135005106517,-0.6198482879912441,CONFIRMED,1
-0.8720676543960992,-1.1225470830894175,CONFIRMED,1
-0.4529835907975151,-0.18358108908947637,CONFIRMED,1
-0.45301010118353063,-0.16375076186666873,CONFIRMED,1
-0.4531218747029471,0.14361931008684956,CONFIRMED,1
-1.0245998175660531,0.14361931008684956,CANDIDATE,0
-1.11478944048512,-1.8562381261257055,CANDIDATE,0
-0.24447797179204395,0.14361931008684956,CANDIDATE,0
0.6534190008739006,0.14361931008684956,CANDIDATE,0
-0.6893265481130634,-0.8280667238307242,CANDIDATE,0
1.8204804796752685,0.2526861098122914,CANDIDATE,0
-0.6019268208985105,-1.3634855588465302,CANDIDATE,0
-0.6020099345411535,0.14361931008684956,CANDIDATE,0
1.0853259805588429,0.024637346750003675,CANDIDATE,0
-0.8346293490785136,0.14361931008684956,CANDIDATE,0
-0.8350147327095111,0.14361931008684956,CANDIDATE,0
-0.8348714333256438,0.14361931008684956,CANDIDATE,0
-0.8343918518446609,0.14361931008684956,CANDIDATE,0
-1.1003631332627313,1.3830147615123263,CANDIDATE,0
2.0163564074835887,0.14361931008684956,CANDIDATE,0
2.546134229641287,0.06429800119561896,CANDIDATE,0
2.5467074271767562,0.14361931008684956,CANDIDATE,0
0.8708211328477637,0.14361931008684956,CANDIDATE,0
-0.31656329385269,0.14361931008684956,CANDIDATE,0
-0.6632944954409475,-0.8102194293301975,CANDIDATE,0
2.43401679170345,0.6492926542684438,CANDIDATE,0
1.0508911386155118,-0.4909511610429947,CANDIDATE,0
0.21651614610931297,-0.8578122146649356,CANDIDATE,0
1.3931617169827457,-0.24307207075789933,CONFIRMED,1
1.393333676243386,-0.2827327252035146,CONFIRMED,1
0.5216865139932824,0.3518377459263296,CANDIDATE,0
0.5211706362113601,0.14361931008684956,CANDIDATE,0
-1.064575616785384,-0.6396786152140518,CANDIDATE,0
-1.0645803456650518,0.14361931008684956,CANDIDATE,0
-1.0645810206051496,0.14361931008684956,CANDIDATE,0
-1.1239487072037713,-0.45129050659737935,CANDIDATE,0
-1.1239515731914484,-0.3223933796491299,CANDIDATE,0
-1.0478143177525683,0.14361931008684956,CANDIDATE,0
-1.0403627497914647,0.14361931008684956,CANDIDATE,0
-1.040293249590289,-0.8478970510535319,CANDIDATE,0
-1.0402820722383472,-1.1552671230070501,CANDIDATE,0
-1.0402727233865439,0.14361931008684956,CANDIDATE,0
-1.088511342770904,0.14361931008684956,CANDIDATE,0
-1.0884783839126144,-1.5717039946860103,CANDIDATE,0
0.6148884332606256,0.14361931008684956,CANDIDATE,0
-1.0746113025357682,0.14361931008684956,CANDIDATE,0
-0.7316958769411311,0.14361931008684956,CANDIDATE,0
-0.7316313922183908,1.4325905795693452,CANDIDATE,0
-0.6164301515397279,-1.5141960457398682,CANDIDATE,0
1.9061591812895742,0.14361931008684956,CANDIDATE,0
1.9061305214128006,0.41132872759475253,CANDIDATE,0
-0.22540052481777978,-0.6297634516026479,CANDIDATE,0
-0.21381190364442487,0.14361931008684956,CANDIDATE,0
1.0039462604605585,0.14361931008684956,CANDIDATE,0
1.0047487370102157,-0.044768798529822865,CANDIDATE,0
0.4519541678157389,1.4623360704035568,CANDIDATE,0
-0.7060581841734184,-0.9867093416131854,CANDIDATE,0
0.8677688559713885,-0.17366592547807277,CANDIDATE,0
-0.0364072664166101,0.14361931008684956,CANDIDATE,0
-0.0364244623426743,0.23285578258948372,CANDIDATE,0
0.7322506286480086,-0.7784909057737053,CANDIDATE,0
0.7313908323448043,0.14361931008684956,CANDIDATE,0
0.7322446100738863,-0.8809194142248398,CANDIDATE,0
-0.6036200464182874,-0.9470486871675701,CANDIDATE,0
0.7636761835301248,-1.1453519593956463,CANDIDATE,0
0.7381015424913135,0.03455251036140772,CANDIDATE,0
0.7379467791567368,-0.1769241275620886,CANDIDATE,0
0.7378393046188363,0.14361931008684956,CANDIDATE,0
0.8506159197224634,0.14361931008684956,CANDIDATE,0
1.8635696013085021,-0.36403706681702575,CANDIDATE,0
0.06806894539258075,0.14361931008684956,CANDIDATE,0
0.06848788257431093,0.14361931008684956,CANDIDATE,0
-0.8301912568196154,0.14361931008684956,CANDIDATE,0
-0.8302858530418877,0.14361931008684956,CANDIDATE,0
-0.8302189322296215,3.217320029622032,CANDIDATE,0
-0.8302170693376313,2.9000347940571096,FALSE POSITIVE,2
-0.8302858530418877,0.14361931008684956,FALSE POSITIVE,2
0.816046233058913,-0.5831118235130678,CANDIDATE,0
0.8159374688265579,0.14361931008684956,CANDIDATE,0
0.8159775926540405,-0.6198482879912441,CANDIDATE,0
0.8159548080520058,-0.6495937788254557,CANDIDATE,0
0.8164785486711209,0.14361931008684956,CANDIDATE,0
-0.2868945894167879,0.14361931008684956,CANDIDATE,0
