pl_orbper,pl_rade,tfopwg_disp,target_encoded
-0.051402352109607245,0.5121783548060794,PC,5
-0.9455635776524296,-0.6494044652858506,FP,3
-0.4337732378505578,-0.6359977995632317,PC,5
-0.6332176942127872,0.42900566198409656,PC,5
-0.8251531197580756,0.8796610912311147,KP,4
-1.1272890398779927,-1.2918377397127483,FP,3
-0.8900407325455901,0.37630258568796116,PC,5
-1.0960014015451949,1.0781462091754344,PC,5
1.1038761609182626,-0.020933529524036633,PC,5
-0.2831745065800956,0.5700908443220466,PC,5
-0.119896619472033,0.3216753706536153,PC,5
-1.0720714779466467,-0.8066579105640233,FP,3
-1.0201926100626737,-0.721063056922988,PC,5
-0.5547583394195744,0.8408446524845626,PC,5
1.3497365873531018,0.5842187688694012,KP,4
0.4850730917326398,0.3645195265577753,PC,5
0.8310529957456048,0.2909991016272837,PC,5
-0.33269510735799346,-1.0265045052527344,PC,5
-1.0632323549335418,-0.039841216273545935,PC,5
-1.045394273848332,-0.05993081898684952,PC,5
-0.08100475225137263,1.513652545959033,APC,0
-0.5551292127553212,1.294684842870544,PC,5
-0.5996938245988728,0.04344490910833721,CP,1
-0.9416553930174617,1.8957491344259103,KP,4
-0.9590723805079845,-0.3331511897604438,APC,0
0.06893289454285761,0.9126058648544045,PC,5
-0.7148542101564367,0.46376843518777094,PC,5
0.8593756133100382,1.071558049761455,PC,5
1.1208506382268038,0.23785622219098596,PC,5
1.6033860389311225,0.23585878292941487,APC,0
1.6892247335522916,0.03952333110855528,PC,5
0.3643955073364002,-0.3435158837636057,PC,5
1.08195987311147,0.8041760656735175,APC,0
1.6231933737287159,-0.2013293610621655,FP,3
3.1157944257754586,0.30558590577600525,PC,5
-0.23030395240851403,0.5944491030132436,KP,4
-0.3164256498055996,0.9404967139930409,PC,5
-0.22004093909995523,-0.11819740500604002,PC,5
0.9895200739561395,-0.10116969342941644,PC,5
-0.2680837953545433,1.172382919643699,PC,5
-1.0550579801522144,-0.3064954544404305,APC,0
-0.621415814215233,-0.5920907860703457,PC,5
-0.7880322464375161,-1.1825246692253681,PC,5
-0.004578841359165529,-0.19465351589711624,PC,5
-0.44061987357952703,0.32953685178401926,PC,5
-0.45218670727619176,-1.610204379277421,PC,5
0.07475835522007161,-1.6439350261367887,PC,5
-1.2373429544441712,-1.4306381447375545,FP,3
-0.6407087934781965,0.23063612063998543,PC,5
0.10655796615706291,-1.3518085629000682,PC,5
-0.520208886332598,0.19724773224931846,PC,5
1.4101187339918433,-1.4392182825241147,PC,5
2.947098052722035,-1.4646575406835696,PC,5
-0.7727439307055514,-0.9748844441892495,PC,5
1.4853420990394781,-1.3438096432883633,PC,5
1.9485640272790827,1.2638069974049715,PC,5
0.03977866404285945,0.19295965163273468,PC,5
2.555547165769098,1.903060861631111,FP,3
1.6004194990446055,1.17887642975689,FP,3
-0.8689439345157685,1.7461977416398329,PC,5
2.0718926813587313,-1.139984710493154,PC,5
0.3818597959960792,0.8927597481545735,FP,3
2.5530511652838173,-1.0558247145968986,PC,5
1.917104132862386,-0.010870778701726997,PC,5
-0.942294911973247,-1.6997137007674723,PC,5
-0.4434191019628002,0.7773480741236073,PC,5
0.3262554546683258,-0.20552398351146506,PC,5
-0.6025817873542597,0.06672663966320157,KP,4
0.3180424764139337,1.2493484691721304,PC,5
0.014050670497130156,-0.8201232167053306,PC,5
-0.03317647888255437,0.07930719016241812,PC,5
0.9094725258139043,1.285870454936455,FP,3
-0.871051785419641,0.46820311685107585,PC,5
1.1683311526851052,-1.4205370394163963,PC,5
-0.08716784438475016,0.3832478102763602,PC,5
-0.024892816954101754,0.6113956892356377,PC,5
-0.05966358470532998,0.19136536524964556,APC,0
0.35176803130263257,-1.629676021928535,PC,5
-0.560478712864557,-0.107054625947407,CP,1
2.9869379986033238,-1.295850210361497,KP,4
-0.9785155737483132,-0.6820839459899684,APC,0
-0.17148174649981246,-0.13662361726785652,PC,5
-0.35714733952150185,-1.102787168780409,KP,4
-0.7066305385017126,-1.4517563003946512,KP,4
-0.5713491947145357,-1.6249337346189479,PC,5
-1.0063996427526152,-1.4290201273100276,KP,4
1.2495459793014585,-1.0928970223654824,KP,4
2.796324712223869,-1.4260676738547244,FA,2
2.1604787160529284,-1.458481843314539,PC,5
-1.2489120221381196,-1.6733209677252763,PC,5
-0.04023391459522607,-1.5568480853673596,PC,5
0.2930020476589073,-1.3773858642701413,PC,5
-0.6783366352490339,-1.5679745733846755,PC,5
-0.9115911809571824,-1.1767852565713788,PC,5
-1.2811210503106614,-1.487109985767396,KP,4
-0.38245501392493564,0.05330382950031256,KP,4
-0.4534491540346009,-0.7460841905720641,PC,5
0.727410683170657,-1.5376143945402048,PC,5
0.7085827029956655,-1.3565778431273825,CP,1
-0.4844066075688481,-1.6337915531131284,CP,1
-1.0635986709148295,-0.095534715696085,FP,3
1.295104511429903,-0.8500279977232942,PC,5
-0.3359492967347768,-1.1752078659589245,PC,5
-0.13857489204237738,-1.269065979224033,PC,5
-0.8069086001003603,1.0292232042187337,PC,5
1.5422425162314202,1.5710666652166727,PC,5
0.8227332324210455,-1.1851747946720712,PC,5
-0.8127766556591195,0.276266502737598,CP,1
2.765885158833275,-1.4708266226803666,PC,5
-0.674634186870592,-1.5108695807591777,PC,5
-0.866368790953379,-1.5939774759185101,PC,5
-1.1767887602279443,-1.5830127621562506,KP,4
-0.19430377127204693,-1.676302209961129,CP,1
-0.7534507131495439,-1.4024097466888437,KP,4
-0.707764366589834,-1.5197418944318526,FP,3
-0.793172227388159,-0.5654012042336707,PC,5
2.7352989062877096,-1.4732374952188214,KP,4
-0.17148174649981246,-0.3641113517137505,PC,5
