koi_period,koi_prad,koi_depth,koi_duration,koi_disposition,koi_disposition_encoded
-0.23530902100960044,-0.19222101931888408,0.7513094922571383,-0.26443697364629026,CONFIRMED,1
2.193534003971485,-0.09652138843157458,1.5165088374407307,0.5868928797162672,CONFIRMED,1
-0.6116845472106798,-0.10995291557365311,0.7143790219297449,-0.980334230136392,CONFIRMED,1
-0.14847652816844278,0.08312528709372558,3.415325899793993,0.6349673309387417,CONFIRMED,1
-0.5247137539375586,-0.10659503378813347,0.95871101361578,-0.16405751949376407,CONFIRMED,1
-0.6094683224845777,-0.3047100591337916,-0.3988530756192032,-0.5548066590300347,CONFIRMED,1
-0.35024954722595114,6.011465579428632,-0.3775811247106246,0.8698453640542586,FALSE POSITIVE,2
-0.5477003357193265,-0.3769045175224637,-0.68070642515787,-0.4442628923333282,CONFIRMED,1
-0.24690195867280892,-0.15696326057092788,2.738168795870906,-0.08312761475010176,CONFIRMED,1
-0.6024525891722138,-0.3063890000265514,0.10753753351001574,0.09565440156753362,FALSE POSITIVE,2
-0.4590269127464377,-0.14353173342884942,1.3871044694135441,-0.22581258597840526,CONFIRMED,1
-0.5351676400547755,-0.2862417093134337,0.005313991643790774,-0.46173452146332455,CONFIRMED,1
-0.3098542757172977,-0.3533993450238262,-0.4257384580175456,0.08636916470285019,CONFIRMED,1
0.4236011260926804,-0.07637409771845678,1.4645107352197608,0.009175331597048574,CONFIRMED,1
-0.4780971639604942,-0.1049160928953737,1.6934796512496004,-0.696173016739093,CONFIRMED,1
-0.5167927226289262,-0.1855052557478448,1.1501585717929876,-0.3097643133703374,CONFIRMED,1
1.3263991940414344,-0.09820032932433442,1.0715705309362946,1.180818385676206,CONFIRMED,1
-0.41019049362049864,-0.12674232450125128,1.9954231766463695,-0.47079998940813383,CONFIRMED,1
0.11742181328585809,-0.051189984327059575,2.246550374872645,-0.10076407057000386,CONFIRMED,1
4.212863980486103,-0.21572619181752142,0.8582601343252699,1.6670571208978022,CONFIRMED,1
-0.6021867781154489,0.5263656827823167,1.4739649356235736,-0.03082261182004996,FALSE POSITIVE,2
-0.5050188169622757,-0.21908407360304105,0.29100811009650646,0.16339817111874608,CONFIRMED,1
-0.45564017555097747,-0.07805303861121664,0.7093564779652196,-0.2700960233330501,CONFIRMED,1
-0.2966183370980888,-0.14856855610712885,2.009309033489469,-0.6523840594541651,CONFIRMED,1
-0.5251944183126389,0.17210915440999572,3.32610188348301,-0.14526727684452284,CONFIRMED,1
-0.5487433303201164,-0.25434183235099717,0.1926253371443303,-0.43025262369135,CONFIRMED,1
-0.5086691685691905,-0.026005870935662367,1.9186077983653904,-0.15867318095684704,CONFIRMED,1
-0.13306734268731554,0.0915199915575247,1.9558337124554035,-0.4468451771418495,CONFIRMED,1
0.6786107553959588,-0.05622680700533906,3.3958266114611293,0.07373245181008546,CONFIRMED,1
-0.01460402338420637,-0.12842126539401105,0.44375253537060577,-0.04664597405099001,CONFIRMED,1
-0.36299888579766965,-0.27113124127859534,-0.4995993986723325,-0.24031733469010044,CONFIRMED,1
0.1375214119518127,-0.23587348253063922,2.2619134505288403,-0.2274059106474929,CONFIRMED,1
-0.3223758172780767,-0.20901042824648217,2.790757785617114,-0.7462803304704034,CONFIRMED,1
1.2219511826812188,-0.23755242342339902,2.247732149923121,0.3121817298735574,CONFIRMED,1
-0.6269403099232104,-0.23755242342339902,1.3596281994899635,-1.2742202182381233,CONFIRMED,1
-0.6218557599708563,-0.17878949217680554,1.8013166246055894,-0.7914977857345133,CONFIRMED,1
-0.35679750066238963,2.6938783753352373,0.5758158972613647,-1.5827757817414545,CANDIDATE,0
-0.5624742576473947,-0.4793199119808123,-0.9994902450239304,-0.16801336005149914,CANDIDATE,0
0.29356723723012945,-0.24762606877995794,2.53578981847679,-0.373277531213972,CONFIRMED,1
-0.20410635415350586,-0.25098395056547756,2.0438759537159092,-1.1371942966965793,CONFIRMED,1
-0.07824201432927451,-0.12506338360849142,1.6400043302155345,0.24767955189048943,CONFIRMED,1
1.6219258917677521,-0.08980562486053531,0.7495368296814238,1.8478170574943051,CONFIRMED,1
-0.567555872738901,3.046455962814799,1.074820412325105,0.2055938037345863,FALSE POSITIVE,2
-0.660280577171986,4.873143654137477,3.7199284190543334,-0.727599972281099,FALSE POSITIVE,2
-0.6016345065629572,-0.04783210254153994,1.4063083139837886,-0.2356472451427743,CONFIRMED,1
-0.35834484064776423,-0.01425328468634369,1.739864321980806,0.33531240869031387,CONFIRMED,1
0.01831921598248771,-0.256020773243757,0.29071266633388726,-0.5130505642539427,FALSE POSITIVE,2
-0.2902133399437591,-0.13681596985781017,2.2512774750745512,-0.3924523694729931,CONFIRMED,1
2.517911738524077,-0.1754316103912859,1.6834345633205492,0.8791855431489105,CONFIRMED,1
-0.1904037504416765,4.228430351317709,1.5073500807995373,0.21823051662735077,FALSE POSITIVE,2
-0.6109498254394696,-0.2257998371740803,0.06085741901619056,-0.5552461968697829,CONFIRMED,1
-0.3822242480104947,-0.10659503378813347,2.7845534666021123,-0.7441375835016302,CONFIRMED,1
0.3362094793095222,-0.24258924610167848,3.347964721916827,-0.06510656332042003,CONFIRMED,1
1.7484110743185908,-0.2644154777075561,3.0525209592976794,0.7247978769373078,CONFIRMED,1
0.5481016667696512,-0.3517204041310664,-0.760771684827659,1.0506053006507616,CONFIRMED,1
-0.3252081636867374,-0.3701887539514244,0.4706379177689481,-0.6883162778535915,CONFIRMED,1
0.46087261714815503,-0.18214737396232517,1.8474058515741762,0.9830263577894548,CONFIRMED,1
